GEOID,County,Adult smoking,Adult obesity,Food environment index,Physical inactivity,Access to exercise opportunities
29001,Adair,22,31,6.6,26,78
29003,Andrew,18,33,8.5,23,63
29005,Atchison,18,33,8.0,28,75
29007,Audrain,21,35,7.5,29,74
29009,Barry,23,33,7.7,30,49
29011,Barton,22,34,6.8,29,35
29013,Bates,21,32,8.0,26,36
29015,Benton,22,34,7.7,27,30
29017,Bollinger,23,32,7.0,34,26
29019,Boone,18,27,7.0,22,82
29021,Buchanan,25,36,7.4,31,79
29023,Butler,25,35,6.9,34,72
29025,Caldwell,21,35,7.7,33,45
29027,Callaway,20,35,7.8,26,66
29029,Camden,20,29,7.6,27,69
29031,Cape Girardeau,21,29,7.3,26,76
29033,Carroll,20,38,7.5,30,30
29035,Carter,23,33,5.3,31,77
29037,Cass,18,34,7.9,26,71
29039,Cedar,23,33,7.2,30,56
29041,Chariton,21,30,8.0,32,34
29043,Christian,20,30,8.0,27,69
29045,Clark,20,35,7.6,29,44
29047,Clay,18,31,8.1,22,90
29049,Clinton,19,32,8.4,33,54
29051,Cole,20,35,7.5,21,78
29053,Cooper,21,34,7.4,27,62
29055,Crawford,23,37,7.7,28,62
29057,Dade,22,33,7.9,27,28
29059,Dallas,23,35,7.3,26,6
29061,Daviess,20,37,7.5,27,32
29063,DeKalb,22,37,7.0,30,65
29065,Dent,23,31,7.0,28,63
29067,Douglas,23,32,6.7,33,43
29069,Dunklin,26,38,6.1,38,67
29071,Franklin,20,32,8.1,28,75
29073,Gasconade,19,34,8.3,30,50
29075,Gentry,19,30,8.3,28,62
29077,Greene,22,36,7.4,24,83
29079,Grundy,21,34,6.8,26,59
29081,Harrison,23,32,6.9,34,41
29083,Henry,22,31,6.7,27,51
29085,Hickory,22,32,7.2,31,21
29087,Holt,21,33,5.0,30,62
29089,Howard,21,32,7.5,25,36
29091,Howell,23,33,6.8,30,56
29093,Iron,22,34,6.7,24,80
29095,Jackson,20,33,7.0,22,91
29097,Jasper,22,36,7.3,27,72
29099,Jefferson,23,32,7.9,19,63
29101,Johnson,21,34,7.4,24,50
29103,Knox,20,33,7.4,29,14
29105,Laclede,24,33,7.1,31,53
29107,Lafayette,20,33,8.1,26,51
29109,Lawrence,22,33,7.9,25,55
29111,Lewis,21,34,6.8,24,17
29113,Lincoln,22,33,8.2,28,37
29115,Linn,21,34,7.0,27,68
29117,Livingston,20,35,7.8,24,74
29119,McDonald,26,28,8.0,27,38
29121,Macon,20,36,7.4,25,59
29123,Madison,23,34,7.5,27,83
29125,Maries,21,37,7.9,33,21
29127,Marion,22,37,7.5,27,73
29129,Mercer,20,29,4.3,30,26
29131,Miller,21,34,7.9,27,56
29133,Mississippi,29,35,6.6,33,53
29135,Moniteau,20,36,8.4,27,38
29137,Monroe,21,34,7.7,32,46
29139,Montgomery,22,33,7.8,31,39
29141,Morgan,23,31,7.6,29,46
29143,New Madrid,27,35,6.7,36,47
29145,Newton,21,34,7.9,26,51
29147,Nodaway,22,35,5.3,25,76
29149,Oregon,24,31,6.8,31,51
29151,Osage,18,32,8.7,28,33
29153,Ozark,24,30,5.0,28,40
29155,Pemiscot,27,36,6.0,40,52
29157,Perry,20,34,8.5,30,42
29159,Pettis,23,36,7.6,27,68
29161,Phelps,21,31,7.2,25,78
29163,Pike,23,35,7.3,26,46
29165,Platte,18,31,8.1,23,83
29167,Polk,21,36,7.8,23,49
29169,Pulaski,22,32,6.6,22,73
29171,Putnam,22,33,7.0,30,54
29173,Ralls,18,33,8.4,28,15
29175,Randolph,21,38,7.5,30,57
29177,Ray,20,35,7.7,34,53
29179,Reynolds,23,35,6.1,32,64
29181,Ripley,26,38,6.7,31,62
29183,St. Charles,17,28,8.5,24,91
29185,St. Clair,21,35,7.4,29,15
29186,Ste. Genevieve,20,33,7.7,31,33
29187,St. Francois,24,36,7.5,32,69
29189,St. Louis,18,29,7.5,22,94
29195,Saline,23,35,7.2,31,54
29197,Schuyler,24,34,4.3,28,43
29199,Scotland,22,33,7.9,30,5
29201,Scott,23,34,6.6,31,63
29203,Shannon,24,32,7.1,30,73
29205,Shelby,21,34,6.5,25,43
29207,Stoddard,24,36,7.8,34,64
29209,Stone,19,34,8.2,29,68
29211,Sullivan,21,35,7.6,33,48
29213,Taney,21,32,6.4,28,59
29215,Texas,24,33,7.1,29,66
29217,Vernon,22,33,6.7,30,55
29219,Warren,19,32,8.3,25,62
29221,Washington,25,30,7.1,29,60
29223,Wayne,24,36,6.4,33,73
29225,Webster,23,33,7.8,28,54
29227,Worth,20,30,8.2,27,21
29229,Wright,26,29,7.0,31,34
29510,St. Louis City,25,35,5.9,25,98
