GEOID,Number_of_Heart_attacks
29001,58
29003,37
29005,0
29007,69
29009,102
29011,36
29013,60
29015,76
29017,24
29019,196
29021,221
29023,143
29025,21
29027,97
29029,139
29031,91
29033,28
29035,25
29037,232
29039,35
29041,11
29043,165
29045,0
29047,372
29049,65
29051,153
29053,33
29055,68
29057,27
29059,44
29061,22
29063,38
29065,63
29067,30
29069,109
29071,204
29073,45
29075,13
29077,564
29079,29
29081,25
29083,81
29085,19
29087,17
29089,21
29091,108
29093,50
29095,1332
29097,267
29099,440
29101,105
29103,7
29105,121
29107,99
29109,99
29111,0
29113,140
29115,30
29117,37
29121,36
29123,42
29125,15
29127,62
29119,40
29129,8
29131,52
29133,37
29135,36
29137,19
29139,27
29141,56
29143,30
29145,110
29147,31
29149,33
29151,30
29153,26
29155,28
29157,27
29159,128
29161,132
29163,63
29165,167
29167,51
29169,106
29171,11
29173,17
29175,51
29177,51
29179,24
29181,40
29195,73
29197,12
29199,0
29201,85
29203,24
29205,14
29183,687
29185,29
29187,223
29510,704
29189,2004
29186,45
29207,66
29209,109
29211,23
29213,154
29215,67
29217,50
29219,78
29221,73
29223,34
29225,72
29227,7
29229,61
